NUMBER,OWNER,TICKER,CUSIP6,CNAME
6637,FORTUNE CARTER M,-,34963X,FORTUNE INDUSTRIES INC
6638,FORZANI JOHNNY,GEIN,37187G,GENESYS INDUSTRIES INC
6639,FOSHEE DOUGLAS L,EP,28336L,EL PASO CORP
6640,FOSS DAVID B,JKHY,426281,JACK HENRY & ASSOCIATES INC
6641,FOSS ERIC J,PBG,713409,PEPSI BOTTLING GROUP INC
6642,FOSS RICHARD A,JXSB,46924P,JACKSONVILLE BANCORP INC IL
6643,FOSSEEN DWAYNE,MREO,604697,MIRENCO INC
6644,FOSTER BRUCE ROBERT,FOUR,35104T,4LICENSING CORP
6645,FOSTER CHARLES H JR,LFG,514936,LANDAMERICA FINANCIAL GROUP IN
6646,FOSTER DALE RICHARD,WSTG,946760,WAYSIDE TECHNOLOGY GROUP INC
6647,FOSTER JAMES C,CRL,159864,CHARLES RIVER LABORATORIES INT
6648,FOSTER JASON C,NXES,65340F,NEXUS ENTERPRISE SOLUTIONS IN
6649,FOSTER JOHN,IVMX,45771R,INNOVATIVE MICRO TECHNOLOGY IN
6650,FOSTER JOHN W,OPIX,676121,ODYSSEY PICTURES CORP
6651,FOSTER MATTHEW B,ASTI,043635,ASCENT SOLAR TECHNOLOGIES INC
6652,FOSTER PAUL L,WNR,959319,WESTERN REFINING INC
6653,FOSTER ROBERT T PHD,HEPA,426897,HEPION PHARMACEUTICALS INC
6654,FOSTER RONALD C,MU,595112,MICRON TECHNOLOGY INC
6655,FOSTER STEVE P,LCNB,50181P,LCNB CORP
6656,FOSTER VINCENT D,MAIN,56035L,MAIN STREET CAPITAL CORP
6657,FOSTER WILLIAM G,VBFC,92705T,VILLAGE BANK & TRUST FINANCIAL
6658,FOTE CHARLES T,-,319963,FIRST DATA CORP
6659,FOTIADES GEORGE L,CMN,138098,CANTEL MEDICAL CORP
6660,FOUCH BRENT,AGEL,03462P,ANGEL ACQUISITION CORP
6661,FOUERTI ALBERT,GOED,28252C,1847 GOEDEKER INC
6662,FOULKES DAVID M,BC,117043,BRUNSWICK CORP
6663,FOUNTAIN T HEATH,CBAN,19623P,COLONY BANKCORP INC
6664,FOURNIER DONAT A,BNV,088115,BEVERLY NATIONAL CORP
6665,FOURNIER MICHAEL J,WG,969203,WILLBROS GROUP INC DE
6666,FOURTEAU PATRICK P,SCRX,808627,FIRST HORIZON PHARMACEUTICAL C
6667,FOUSE JACQUALYN A,AGIO,00847X,AGIOS PHARMACEUTICALS INC
6668,FOUST MICHAEL F,DLR,253868,DIGITAL REALTY TRUST INC
6669,FOUTCH RANDY A,LPI,516806,LAREDO PETROLEUM INC
6671,FOWDEN JEREMY S G,COT,22163N,COTT CORP CN
6672,FOWKE BENJAMIN G S III,XEL,98389B,XCEL ENERGY INC
6673,FOWLER AMU,CEVE,15677X,CERES VENTURES INC
6674,FOWLER DONALD EUGENE,SUMT,866615,SUMTOTAL SYSTEMS INC
6675,FOWLER FRED J,SE,847560,SPECTRA ENERGY CORP
6676,FOWLER JOHN FRANKLIN,KZR,49372L,KEZAR LIFE SCIENCES INC
6677,FOWLER NEAL FRANKLIN,LQDA,53635D,LIQUIDIA TECHNOLOGIES INC
6678,FOWLER PEGGY Y,POR,736508,PORTLAND GENERAL ELECTRIC CO
6679,FOWLER W RANDALL,EPD,293792,ENTERPRISE PRODUCTS PARTNERS L
6680,FOX ANN G,NINE,65441V,NINE ENERGY SERVICE INC
6681,FOX BRIAN D,PRVB,738864,POWDER RIVER BASIN GAS CORP
6682,FOX JASON E,WPC,92936U,W P CAREY INC
6683,FOX JEFFREY H,CVG,212485,CONVERGYS CORP
6684,FOX LEIGH R,CBB,171871,CINCINNATI BELL INC
6685,FOX SAUL A,GBLI,G39319,GLOBAL INDEMNITY PLC
6686,FOX WILLIAM W JR,-,G8988C,TOWER GROUP INTERNATIONAL LTD
6687,FOXMAN LEONARD A,EGLT,270006,EAGLE TEST SYSTEMS INC
6688,FOY CLINTON,UTAA,G9473A,UTA ACQUISITION CORP
6689,FOY JAMES D,-,20602T,CONCERTO SOFTWARE INC
6690,FRADELLA FRANK J,HSOA,437355,HOME SOLUTIONS OF AMERICA INC
6691,FRADIN ROGER B,JIH,48205G,JUNIPER INDUSTRIAL HOLDINGS IN
6692,FRADIN RUSSELL P,-,055472,BISYS GROUP INC
6693,FRAIZER MICHAEL D,GNW,37247D,GENWORTH FINANCIAL INC
6695,FRALICH MARK,IDAH,451358,IDAHO NORTH RESOURCES CORP
6696,FRAME TIMOTHY R,WEIN,952678,WEST END INDIANA BANCSHARES IN
6697,FRANCE JAMES C,ISCB,460335,INTERNATIONAL SPEEDWAY CORP
6698,FRANCE JAMES W,FIIH,316839,FIIC HOLDINGS INC
6699,FRANCESCON DALE,CCS,156504,CENTURY COMMUNITIES INC
6701,FRANCIS GERALD R,CHCO,177835,CITY HOLDING CO
6702,FRANCIS JAMES L,-,430141,HIGHLAND HOSPITALITY CORP
6703,FRANCIS JULIAN,BECN,073685,BEACON ROOFING SUPPLY INC
6705,FRANCIS LAURA A,SIBN,825704,SI-BONE INC
6706,FRANCIS MITCHELL JAY,TIXC,888733,TIX CORP
6707,FRANCIS PHILIP L,PETM,716768,PETSMART INC
6708,FRANCIS RICHARD E JR,-,871504,SYMBION INC
6709,FRANCIS RICHARD S,MRNJ,59140T,METATRON INC
6710,FRANCIS ROBERT DUANE,CRXN,20589X,CONCENTRAX INC
6711,FRANCIS SCOTT A,AEY,006743,ADDVANTAGE TECHNOLOGIES GROUP
6712,FRANCIS STEVEN C,AHS,001744,AMN HEALTHCARE SERVICES INC
6713,FRANCO RICHARD A SR,DARA,23703P,DARA BIOSCIENCES INC NEW
6714,FRANCOIS CEDRIC,APLS,03753U,APELLIS PHARMACEUTICALS INC
6716,FRANGOU ANGELIKI,NM,Y62196,INTERNATIONAL SHIPPING ENTERPR
6717,FRANK CHARLES WILLIAM,CONN,208242,CONN S INC
6718,FRANK JEFFREY,CHRK,164450,CHEROKEE INTERNATIONAL CORP
6720,FRANK OREN,TALK,87427V,TALKSPACE INC
6721,FRANK RICHARD M,CEC,125137,CEC ENTERTAINMENT INC
6722,FRANK THOMAS,-,654889,NOBEL LEARNING COMMUNITIES INC
6725,FRANKEL MICHAEL S,REXR,76169C,REXFORD INDUSTRIAL REALTY INC
6726,FRANKEL RONALD N,SYNC,871561,SYNACOR INC
6727,FRANKFORT LEWIS,COH,189754,COACH INC
6728,FRANKLAND G THOMAS,ACFC,048426,ATLANTIC COAST FINANCIAL CORP
6729,FRANKLIN CHRISTOPHER H,WTR,03836W,AQUA AMERICA INC
6730,FRANKLIN LARRY D,HHS,416196,HARTE HANKS INC
6731,FRANKLIN MARTIN E,JAH,471109,JARDEN CORP
6732,FRANKLIN MICHAEL ANDREW,WHLR,963025,WHEELER REAL ESTATE INVESTMENT
6733,FRANKLIN RICHARD L,PFND,70319A,PATHFINDER CELL THERAPY INC
6734,FRANKLIN ROBERT R JR,CBTX,12481V,CBTX INC
6735,FRANKLIN ROMAN NEHEMIAH,WINR,82887P,SIMPLICITY ESPORTS AND GAMING
6736,FRANKO ROBERT M,FCBP,31948P,FIRST CHOICE BANCORP (CALIFORN
6738,FRANKS KASIAN,ADTM,00652J,ADAPTIVE MEDIAS INC
6740,FRANTZ JOHN R,QSII,747582,QUALITY SYSTEMS INC
6741,FRANZETTI MAXIME,BWCA,G1330M,BLUE WHALE ACQUISITION CORP I
6742,FRASCH RONALD L,SKS,79377W,SAKS INC
6743,FRASER CHRISTOPHER T,KMG,482564,KMG CHEMICALS INC
6744,FRASER CRAIG,DSCO,97382D,WINDTREE THERAPEUTICS INC
6746,FRASER JANE NIND,C,172967,CITIGROUP INC
6747,FRASER JEFFERY S,EGOV,62914B,NIC INC
6748,FRASER JOHN GORDON,MANS,56176P,MANARIS CORP
6749,FRASER ROBERT,LNLT,53626W,LIONS GATE LIGHTING CORP
6750,FRASER SCOTT S,EMPO,29246G,EMPOWERED PRODUCTS INC
6751,FRASIER MARCUS,IDLM,45168L,IDLE MEDIA INC
6752,FRATAMICO PAUL,GWAC,38216X,GOOD WORKS ACQUISITION CORP
6753,FRATER JAMES DOUGLAS,GGRN,37947A,GLOBAL GREEN SOLUTIONS INC
6754,FRAWLEY PATRICK M,-,20343H,COMMUNITY BANCSHARES INC DE
6755,FRAZER NIMROD T,-,29358R,ENSTAR GROUP INC
6756,FRAZIER KENNETH C,MRK,58933Y,MERCK & CO INC NEW
6757,FRECHETTE PETER L,PDCO,703395,PATTERSON COS INC
6758,FRED EDWARD J,CVU,125919,CPI AEROSTRUCTURES INC
6759,FREDA FABRIZIO,EL,518439,ESTEE LAUDER COS INC
6760,FREDERICK EDWARD J,OACQ,G67789,ORIGO ACQUISITION CORP
6761,FREDERICKSON HARRY G JR,GRMH,389465,GRAYMARK HEALTHCARE INC
6762,FREDERICO DOMINIC J,AGO,G0585R,ASSURED GUARANTY LTD
6763,FREDERIKSEN JORGEN,VOPA,929030,VOPIA INC
6764,FREDETTE PAMELA ANNE,ENHT,293313,ENHERENT CORP
6765,FREDRICKSON STEVEN D,PRAA,69354N,PRA GROUP INC
6766,FREED BRIAN W,ALTM,02215L,ALTUS MIDSTREAM CO
6767,FREED DONALD J,CTT,204512,COMPETITIVE TECHNOLOGIES INC
6768,FREEDMAN DAVID N,-,642876,NEW BRUNSWICK SCIENTIFIC CO IN
6769,FREEDMAN GREGORY,BHAC,22677T,CRIXUS BH3 ACQUISITION CO
6770,FREEH JOHN J,HYDG,44887Q,HYDROGEN CORP
6771,FREELAND JAY W,FARO,311642,FARO TECHNOLOGIES INC
6772,FREEMAN ARTHUR L,FIFG,32053S,1ST INDEPENDENCE FINANCIAL GRO
6773,FREEMAN DAVID,LDL,550819,LYDALL INC
6774,FREEMAN DAVID W,QNBC,74726N,QNB CORP
6775,FREEMAN DEAN P,WTS,942749,WATTS WATER TECHNOLOGIES INC
6776,FREEMAN DOUGLAS K,NTBK,640933,NET BANK INC
6777,FREEMAN GEORGE C III,UVV,913456,UNIVERSAL CORP
6778,FREEMAN JOHN H,DRAM,238108,DATARAM CORP
6779,FREEMAN KENNETH W,DGX,74834L,QUEST DIAGNOSTICS INC
6780,FREEMAN PATRICK D,CORG,21850P,CORDIA CORP
6781,FREEMAN WILLIAM T,-,579793,MCCORMICK & SCHMICKS SEAFOOD R
6782,FREER RICHARD J,CBTE,202739,COMMONWEALTH BIOTECHNOLOGIES I
6783,FREEZE THOMAS W,SNAK,461214,POORE BROTHERS INC
6784,FREI BRENT R,-,683402,ONYX SOFTWARE CORP
6785,FREIBERG STEVEN J,ETFC,269246,E TRADE FINANCIAL CORP
6786,FREIDHEIM CYRUS F JR,CQB,170032,CHIQUITA BRANDS INTERNATIONAL
6787,FREIDHEIM ISABELLE D,ATEK,04687C,ATHENA TECHNOLOGY ACQUISITION
6788,FREIDHEIM SCOTT J,CDI,125071,CDI CORP
6789,FREIHEIT H ROBERT,PXTE,70423P,PAXTON ENERGY INC
6790,FREIMAN PAUL EDWARD,NTII,64124W,NEUROBIOLOGICAL TECHNOLOGIES I
6791,FREIMUTH STANLEY E,PRST,741113,PRESSTEK INC
6792,FREITAG DOUG,TDCP,88579F,3DICON CORP
6793,FRENCH CORNELL,ANFR,30729Q,FANTEX INC
6794,FRENCH DAVID D,CRUS,172755,CIRRUS LOGIC INC
6795,FRENCH DAVID L,ROSE,777385,ROSEHILL RESOURCES INC
6796,FRENCH GLENDON E III,LUNG,745848,PULMONX CORP
6797,FRENCH J MICHAEL,MRNA,56804Q,MARINA BIOTECH INC
6798,FRENCH MICHAEL C,SCT,G73537,SCOTTISH RE GROUP LTD
6799,FRENCH O EDWIN,MDTH,58404W,MEDCATH CORP
6800,FRENCH TRACY M,HOMB,436893,HOME BANCSHARES INC
6801,FRESTON THOMAS E,VIA,92553P,VIACOM INC NEW
6802,FRETZ DEBORAH M,SXL,86764L,SUNOCO LOGISTICS PARTNERS LP
6803,FREYTAG J WILLIAM,-,62856E,MYOGEN INC
6804,FRIAR SARAH J,KIND,65345M,NEXTDOOR HOLDINGS INC
6805,FRICHTEL ROBERT LAWRENCE,CANN,36930V,GENERAL CANNABIS CORP
6806,FRIED ROBERT N,CDXC,171077,CHROMADEX CORP
6807,FRIEDBERG DAVID A,TPBA,G8990L,TPB ACQUISITION CORPORATION I
6808,FRIEDLAND JEFFREY,KDRH,36473U,KINDER HOLDING CORP
6809,FRIEDLAND ROBERT MARTIN,SES,78397Q,IVANHOE CAPITAL ACQUISITION CO
6810,FRIEDLANDER SCOTT W,GTSI,36238K,GTSI CORP
6811,FRIEDMAN ADENA T,NDAQ,631103,NASDAQ INC
6812,FRIEDMAN AVRAHAM A,RXMD,74332G,PROGRESSIVE CARE INC DE
6813,FRIEDMAN BARRY MICHAEL,MWIP,58500H,MEDISWIPE INC
6814,FRIEDMAN BRIAN D,BOAS,05601A,BOA ACQUISITION CORP
6815,FRIEDMAN BRIAN P,-,472319,JEFFERIES GROUP LLC
6816,FRIEDMAN EMANUEL J,AI,041356,ARLINGTON ASSET INVESTMENT COR
6817,FRIEDMAN GARY G,RSTO,760981,RESTORATION HARDWARE INC
6818,FRIEDMAN JACK,JAKK,47012E,JAKKS PACIFIC INC
6819,FRIEDMAN JEFFREY I,AEC,045604,ASSOCIATED ESTATES REALTY CORP
6820,FRIEDMAN LOUIS S,WSCU,950804,WES CONSULTING INC
6821,FRIEDMAN MICHAEL JORDAN,FRHV,35804E,FRESH HARVEST PRODUCTS INC
6822,FRIEDMAN PAUL A,INCY,45337C,INCYTE CORP
6823,FRIEDMAN PETER H,LVWD,53838Q,LIVEWORLD INC
6824,FRIEDMAN RICHARD H,BIOS,09069N,MIM CORP
6825,FRIEDMAN WILLIAM S,-,876287,TARRAGON CORP NEW
6826,FRIEL ROBERT F,PKI,714046,PERKINELMER INC
6827,FRIEL THOMAS J,HSII,422819,HEIDRICK & STRUGGLES INTERNATI
6828,FRIEND DAVID,CARB,141337,CARBONITE INC
6829,FRIERSON DANIEL K,DXYN,255519,DIXIE GROUP INC
6831,FRIES MICHAEL T,LBTY,G5480U,LIBERTY GLOBAL PLC
6832,FRIES MICHAEL THOMAS,-,913247,UNITEDGLOBALCOM INC NEW
6833,FRIESEN KIM,XLGI,98374T,XL GENERATION INTERNATIONAL IN
6834,FRIESS MICHAEL I,CGA,16943W,CHINA GREEN AGRICULTURE INC
6835,FRIJA KEVIN,VPCO,922099,VAPOR CORP NV
6836,FRINCKE JAMES M,HRBR,41150V,HARBOR BIOSCIENCES INC
6837,FRISBY JEFFRY D,TGI,896818,TRIUMPH GROUP INC DE
6838,FRISHBERG BRAD,MGU,55608D,MACQUARIE GLBL INFRSTR TOTAL R
6839,FRISK PATRIK,UA,904311,UNDER ARMOUR INC
6840,FRISSORA MARK P,TEN,880349,TENNECO INC DE
6841,FRIST ROBERT A JR,HSTM,42222N,HEALTHSTREAM INC
6842,FRITCH HERBERT A,HS,42224N,HEALTHSPRING INC
6843,FRITSCH EDWARD J,HIW,431284,HIGHWOODS PROPERTIES INC
6844,FRITZ LANCE M,UNP,907818,UNION PACIFIC CORP
6845,FRITZ LAWRENCE C,ANDS,03252Q,ANADYS PHARMACEUTICALS INC
6846,FROATS BLAINE,TECO,89465N,TREATY ENERGY CORP
6847,FROBERG NICLAS,UCPA,90983A,UNITED COMMUNICATIONS PARTNERS
6848,FROHMAN SCOTT,ITCC,45778T,INSPRO TECHNOLOGIES CORP
6849,FROHNMAYER MARK,FUV,039587,ARCIMOTO INC
6851,FROM STEPHEN,KPRX,49721T,KIORA PHARMACEUTICALS INC
6852,FROMAN CHRISTOPHER C,-,731822,POMEROY IT SOLUTIONS INC
6853,FROMKIN ANDREW J,-,18725U,CLINICAL DATA INC
6854,FROMM RONALD A,BWS,115736,BROWN SHOE CO INC
6855,FROMMER JEREMY,GTPH,391169,GREAT PLAINS HOLDINGS INC
6856,FROST GERRY JANELLE,AMSF,03071H,AMERISAFE INC
6857,FROST GREGORY IAN,HALO,40637H,HALOZYME THERAPEUTICS INC
6858,FROST MATTHEW CALHOUN,ONT,68338A,ON2 TECHNOLOGIES INC
6859,FROST PHILLIP,-,465823,IVAX CORP
6860,FROST PHILLIP MD ET AL,OPK,68375N,OPKO HEALTH INC
6861,FROST RICHARD W,LPX,546347,LOUISIANA PACIFIC CORP
6862,FROWNFELTER JAMES B,-,69831Y,PANAMSAT HOLDING CORP
6863,FRUCHTERMAN TODD M,BFLY,124155,BUTTERFLY NETWORK INC
6864,FRUCHTMAN STEVEN M,ONTX,68232V,ONCONOVA THERAPEUTICS INC
6865,FRY JOHN J,ALOG,032657,ANALOGIC CORP
6866,FRYETT GREGG,EFIR,268487,EGPI FIRECREEK INC
6867,FU CARY T,BHE,08160H,BENCHMARK ELECTRONICS INC
6868,FU LI,FSIN,36113E,FUSHI COPPERWELD INC
6869,FU QIANG,CHDA,168927,CHINA DIGITAL ANIMATION DEVELO
6870,FU ZHIGENG,GRNV,39678G,GREENVISION ACQUISITION CORP
6871,FU ZHIGUO,ABAT,00752H,ADVANCED BATTERY TECHNOLOGIES
6872,FUCCILLO THOMAS J,AIO,01883M,ALLIANZGI ARTIFICIAL INTELLIGE
6873,FUCHTER WILLEM ANTON HENDRIK,CMIN,210413,CONSTITUTION MINING CORP
6874,FUERST KIM M,CWYR,196910,COLORADO WYOMING RESERVE CO
6876,FUJA TANNIN J,VIVK,92852R,VIVAKOR INC
6877,FUJIWARA YASUHIRO,DSKX,23336Q,DS HEALTHCARE GROUP INC
6878,FULCHER JAY B,-,00846X,AGILE SOFTWARE CORP
6879,FULCHINO PAUL E,-,05366B,AVIALL INC DE
6880,FULD RICHARD S JR,LEHM,524908,LEHMAN BROTHERS HOLDINGS INC
6881,FULDA SEAN Y,UVCL,913356,UNIVERCELL HOLDINGS INC
6882,FULGONI GIAN M,SCOR,20564W,COMSCORE INC
6883,FULK BRETT D,RIVE,76940Q,RIVERVIEW FINANCIAL CORP
6884,FULLENKAMP JON,VYEY,92643X,VICTORY ENERGY CORP NV
6885,FULLER ANTHONY,BHTG,09074B,BIOHITECH GLOBAL INC
6886,FULLER DALE L,BORL,099849,BORLAND SOFTWARE CORP
6887,FULLER KENNETH D,MMU,95766M,WESTERN ASSET MANAGED MUNICIPA
6888,FULLER LYNN B,HTLF,42234Q,HEARTLAND FINANCIAL USA INC
6890,FULLER MAX L,XPRS,90338N,U S XPRESS ENTERPRISES INC
6891,FULLER MORTIMER B III,GWR,371559,GENESEE & WYOMING INC
6893,FULLERTON ERIC,VII,925811,VICON INDUSTRIES INC
6894,FULOP RIC,DM,25058X,DESKTOP METAL INC
6895,FULTON DANIEL S,WY,962166,WEYERHAEUSER CO
6896,FULTON RUFUS A JR,FULT,360271,FULTON FINANCIAL CORP
6897,FULTON TRICIA L,HLIO,42328H,HELIOS TECHNOLOGIES INC
6900,FUNK CHARLES N,MOFG,598511,MIDWESTONE FINANCIAL GROUP INC
6901,FUNK MICHAEL S,UNFI,911163,UNITED NATURAL FOODS INC
6902,FUNK NICOLE,SGLT,86606R,AEROBIC CREATIONS INC
6903,FUNK WERNER,OMTK,68215W,OMNITEK ENGINEERING CORP
6904,FUNKE MARK W,OKSB,844767,SOUTHWEST BANCORP INC
6905,FUNSTON LANCE T,CAW,124867,CCA INDUSTRIES INC
6906,FURER JONATHAN R,KS,48562P,KAPSTONE PAPER & PACKAGING COR
6907,FURLA GEORGE,FMYR,30705R,FAMILY ROOM ENTERTAINMENT CORP
6908,FURLAN FRANKLIN J,PERF,71376C,PERFUMANIA HOLDINGS INC
6909,FURLONG DANIEL R,ARBJ,00500Q,ACROBOO INC
6910,FURLONG JOHN LAWRENCE,ACQR,G4761A,INDEPENDENCE HOLDINGS CORP
6911,FURLONG JOSEPH F III,AHOM,026649,AMERICAN HOMEPATIENT INC
6912,FURLONG MARK F,MI,571837,MARSHALL & ILSLEY CORP NEW
6913,FURLONG MATTHEW,GME,36467W,GAMESTOP CORP
6914,FURMAN WILLIAM A,GBX,393657,GREENBRIER COS INC
6915,FURNARI JOSEPH,HYRE,44916T,HYRECAR INC
6916,FURROW SAMUEL J JR,DFBG,25374L,DIFFERENTIAL BRANDS GROUP INC
6917,FURRY MICHAEL THOMAS,-,75935A,REINHOLD INDUSTRIES INC DE
6918,FURUKAWA TOM TORU,LGIQ,962193,LOGIQ INC
6919,FUSARO JAMES MACMILLAN,ARRY,04271T,ARRAY TECHNOLOGIES INC
6920,FUSCHINO BENEDETTO,JSHG,481044,JOSHUA GOLD RESOURCES INC
6921,FUSCO JACK ANTHONY,CPN,131347,CALPINE CORP
6922,FUSCO MARK E,AZPN,045327,ASPEN TECHNOLOGY INC
6923,FUSFIELD GLENN J,OSW,P73684,HAYMAKER ACQUISITION CORP
6924,FUSILLI DONALD P JR,-,057149,MICHAEL BAKER CORP
6925,FUST CHARLES,SFSH,82935D,SINOFRESH HEALTHCARE INC FL
6926,FUTRELL J THOMAS,GOF,18385X,CLAYMORE GUGGENHEIM STRATEGIC
6927,FUTRELL STEVEN C,CHBH,227072,CROGHAN BANCSHARES INC
6928,FUTRO PETER G,UMSY,90341J,U S MEDSYS CORP
6930,FYFE DAVID,OLED,132193,CAMBRIDGE DISPLAY TECHNOLOGY I
6931,FYRWALD J ERIK,NLC,62985Q,NALCO HOLDING CO
6932,GABELLI JOHN D,GBL,361438,GAMCO INVESTORS INC NEW
6933,GABELLI MARC J,LICC,50187G,LICT CORP
6935,GABRIEL CLARENCE J JR,MVGR,624581,MOVIE GALLERY INC
6936,GABRIEL RICHARD L,DNAG,23324Q,DNAPRINT GENOMICS INC
6937,GABRIELSON MARK JORDAN,ORXE,685775,ORE HOLDINGS INC
6938,GACEK JONATHAN W,QTM,747906,QUANTUM CORP
6939,GAD THOMAS,YMAB,984241,Y-MABS THERAPEUTICS INC
6940,GADOT HAREL,MBOT,59503A,MICROBOT MEDICAL INC
6941,GAENZLE RICK,PCCT,G7007D,PERCEPTION CAPITAL CORP II
6942,GAERTNER CHRISTOPHER,DHCA,G2758T,DHC ACQUISITION CORP
6943,GAETZ RICHARD E,VTNC,92850E,VITRAN CORP INC
6944,GAFFNEY PETER J,ISYS,45810H,INTEGRAL SYSTEMS INC
6945,GAGE L PATRICK,PDLI,69329Y,PDL BIOPHARMA INC
6946,GAGERMAN MELVIN,AUSI,051526,AURA SYSTEMS INC
6947,GAGLIARDI STEPHEN M,-,007437,ADVANCE FINANCIAL BANCORP
6948,GAGNE DAVID A,WELX,974241,WINLAND ELECTRONICS INC
6949,GAGNON HOLLY CPA,ARTE,04303A,ARTEMIS STRATEGIC INVESTMENT C
6950,GAINER MARK D,UNNF,907647,UNION NATIONAL FINANCIAL CORP
6951,GAINES ALAN,AFDG,000640,ABC FUNDING INC
6952,GAINES ALAN D,DUNR,265338,DUNE ENERGY INC
6953,GAINES GRETA,ENDO,29271J,OMNICANNA HEALTH SOLUTIONS INC
6954,GAINES PATRICK H,LMLP,50208P,LML PAYMENT SYSTEMS INC
6955,GAL AVNER,IGAP,45824Q,INTEGRITY APPLICATIONS INC
6956,GALAI YARON,OB,69002R,OUTBRAIN INC
6957,GALAL AHMAD,RVIT,761513,REVIVE IT CORP
6958,GALANSKI STANLEY ADAM,NAVG,638904,NAVIGATORS GROUP INC
6959,GALANT PAUL,PAY,92342Y,VERIFONE SYSTEMS INC
6960,GALBRAITH KENNETH H,ZYME,98985W,ZYMEWORKS INC
6961,GALE ROGER I,CBMC,131722,CALYPTE BIOMEDICAL CORP
6962,GALIK MILAN,IBKR,45841N,INTERACTIVE BROKERS GROUP INC
6963,GALIT SCOTT H,PAYO,70451X,FTAC OLYMPUS ACQUISITION CORP
6964,GALL GARY D,-,959522,WESTERN SIERRA BANCORP
6966,GALLAGHER DANIEL,CLUB,89214A,TOWN SPORTS INTERNATIONAL HOLD
6967,GALLAGHER DRURY J,GBGD,37933T,GLOBAL GOLD CORP
6968,GALLAGHER HUGH J,APU,030975,AMERIGAS PARTNERS LP
6969,GALLAGHER J PATRICK JR,AJG,363576,ARTHUR J GALLAGHER & CO
6970,GALLAGHER JOHN J III,CE,150870,CELANESE CORP NEW
6971,GALLAGHER MATTHEW,PE,701877,PARSLEY ENERGY INC
6972,GALLAGHER MAURICE J JR,ALGT,01748X,ALLEGIANT TRAVEL CO
6973,GALLAGHER MICHAEL K,FTWR,31567R,FIBERTOWER CORP NEW
6974,GALLAGHER PATRICK,-,G35298,FLAG TELECOM GROUP LTD
6975,GALLAGHER PAUL,-,433550,HIRSCH INTERNATIONAL CORP
6976,GALLAGHER PHILIP R,AVT,053807,AVNET INC
6977,GALLAGHER SCOTT D,FLIP,30266R,FTS GROUP INC
6978,GALLAGHER THOMAS CLAYTON,GPC,372460,GENUINE PARTS CO
6979,GALLAGHER TIMOTHY J,GWR,371559,GENESEE & WYOMING INC
6980,GALLAHUE KIERAN T,RMD,761152,RESMED INC
6981,GALLEGOS JOHN ANTHONY JR,ICD,453415,INDEPENDENCE CONTRACT DRILLING
6982,GALLEN CHRISTOPHER C,EPRS,29428P,EPIRUS BIOPHARMACEUTICALS INC
6983,GALLETTI SALVATORE,TTCF,87663X,TATTOOED CHEF INC
6984,GALLI JOSEPH JR,NWL,651229,NEWELL RUBBERMAID INC
6985,GALLIERS-PRATT RUPERT,VSTL,92840A,VISTULA COMMUNICATIONS SERVICE
6986,GALLITANO DAVID J,WCG,94946T,WELLCARE HEALTH PLANS INC
6987,GALLOGLY JAMES L,LYB,N53745,LYONDELLBASELL INDUSTRIES N V
6988,GALLOVICOVA DANA,ZFLO,98977G,ZLATO INC
6989,GALLUP EDWARD L,BLUD,452526,IMMUCOR INC
6990,GALOPPI PIERRE,SMHQ,78458D,SMSA HUMBLE ACQUISITION CORP
6991,GALPERIN MARCOS,MELI,58733R,MERCADOLIBRE INC
6993,GALPIN KENNETH,MHME,61970P,MOST HOME CORP
6994,GALT JOHN W,GRHU,39530R,GREENHOUSE HOLDINGS INC
6996,GALTON BRUCE C,SNT,817208,SENESCO TECHNOLOGIES INC
6997,GALUPPO FRANK,AANI,023434,AMEDIA NETWORKS INC
6998,GALVIN PAUL M,SGBX,78418A,SG BLOCKS INC NEW
6999,GALVIN ROBERT C,ICON,451055,ICONIX BRAND GROUP INC
7000,GALVIN WILLIAM,AXE,035290,ANIXTER INTERNATIONAL INC
7001,GALVIS MICHAEL K,NYTE,62950C,NYTEX ENERGY HOLDINGS INC
7002,GAMACHE BRIAN R,WMS,929297,WMS INDUSTRIES INC
7003,GAMACHE DAVID,DKMR,98421Q,XTREME FIGHTING CHAMPIONSHIPS
7004,GAMGORT ROBERT JAMES,PF,72348P,PINNACLE FOODS INC NEW
7005,GAMPER ALBERT R JR,CIT,125581,CIT GROUP INC NEW
7006,GAMZON MICHAEL S,GRIF,398231,GRIFFIN INDUSTRIAL REALTY INC
7007,GANANI EHUD,TCGD,892354,TRACEGUARD TECHNOLOGIES INC
7008,GANATRA TANSUKH V,-,90331S,US LEC CORP
7009,GANDLER DAVID,FUBO,30310Y,FACEBANK GROUP INC
7010,GANDOSSI DAVID M,MERC,588056,MERCER INTERNATIONAL INC WA
7011,GANEK JEFFREY E,NSR,64126X,NEUSTAR INC
7012,GANG LI,NFEC,629099,NF ENERGY SAVING CORP OF AMERI
7013,GANNON CHRIS M,ERII,29270J,ENERGY RECOVERY INC
7014,GANOT ILAN,SLDB,83422E,SOLID BIOSCIENCES INC
7015,GANTT GREG C,ODFL,679580,OLD DOMINION FREIGHT LINE INC
7016,GANTT THOMAS W,SPEX,84842R,SPHERIX INC
7017,GANZ BRYAN SCOTT,BYRN,12448X,BYRNA TECHNOLOGIES INC
7018,GANZ HANS R,FPTB,33589V,FIRST PACTRUST BANCORP INC
