CNAME,CNUM
"ANGI INC","A999783282"
"SPRINKLR INC","S999803638"
"DRAFTKINGS INC","D999813098"
"SENTINELONE INC",""
"XOMETRY INC","X999804118"
"AFFIRM HOLDINGS INC","A999797824"
"ASTRA SPACE INC","H999794326"
"FRONTIER GROUP HOLDINGS INC","F999801318"
"CLOVER HEALTH INVESTMENTS CORP","C999797724"
"COINBASE GLOBAL INC","C999801498"
"OUTBRAIN INC","O999804700"
"HIMS & HERS HEALTH INC","H999798166"
"QUALTRICS INTERNATIONAL INC","Q999798468"
"ROVER GROUP INC","N999797046"
"ROBINHOOD MARKETS INC","R999804939"
"COUPANG INC","C999800618"
"VIANT TECHNOLOGY INC","V999799084"
"JOBY AVIATION INC","J999805298"
"OSCAR HEALTH INC","O999800146"
"HAGERTY INC","A999801578"
"JOANN INC","J999800574"
"DUTCH BROS INC","D999806518"
"KYNDRYL HOLDINGS INC","K999808598"
"INFORMATICA INC",""
"BIRD GLOBAL INC","B999808938"
"SWEETGREEN INC","S999809478"
"BUZZFEED INC","8999797747"
"TPG INC","T999810958"
